Betta splendens,Siamese fighting fish
Bos taurus,Cattle
Cynoglossus semilaevis,Tongue sole
Cyprinus carpio haematopterus,Amur carp
Danio rerio,Zebrafish
Epinephelus coioides,Orange-spotted grouper
Equus caballus,Horse
Gallus gallus,Chicken
Homo sapiens,Human
Lates calcarifer,Barramundi perch
Monopterus albus,Swamp eel
Mus musculus,House mouse
Oreochromis niloticus,Nile tilapia
Oryzias latipes,Japanese medaka
Paralichthys olivaceus,Japanese flounder
Thalassoma bifasciatum,Bluehead
Trachemys scripta,Red-eared slider turtle
Xenopus laevis,African clawed frog